"","Player","Conf","G","Rec","Yds","YdsCatch","TD","rec_yards","td","Height","Wt","fourtyYD","Vertical","PredScore","LogScore"
"1","Antonio Callaway","SEC","12","54","721","13.4","3",385,3,"71",200,4.41,34,565,6.33682573114644
"2","Auden Tate","ACC","12","40","548","13.7","10",20,0,"77",228,4.68,31,20,2.99573227355399
"3","Calvin Ridley","SEC","14","63","967","15.3","5",625,8,"72",189,4.43,31,1105,7.00760061395185
"4","Christian Kirk","SEC","13","71","919","12.9","10",536,3,"70",201,4.47,35.5,716,6.57368016696065
"5","Courtland Sutton","American","13","68","1085","16.0","12",430,2,"75",218,4.54,35.5,550,6.30991827822652
"6","D.J. Chark","SEC","13","40","874","21.9","3",174,0,"75",199,4.34,40,174,5.15905529921453
"7","James Washington","Big 12","13","74","1549","20.9","13",77,1,"71",213,4.54,34.5,137,4.91998092582813
"8","Keke Coutee","Big 12","13","93","1429","15.4","10",273,1,"70",181,4.43,34.5,333,5.80814248998044
"9","Marcell Ateman","Big 12","13","59","1156","19.6","8",66,0,"76",216,4.62,34,66,4.18965474202643
"10","Marquez Valdes-Scantling","American","12","53","879","16.6","6",413,2,"76",206,4.37,30.5,533,6.27852142416584
"11","Michael Gallup","MWC","13","100","1418","14.2","7",304,1,"73",205,4.51,36,364,5.89715386763674
"12","Richie James","CUSA","5","31","290","9.4","3",94,0,"70",183,4.48,35.5,94,4.54329478227
"13","Trey Quinn","American","13","114","1236","10.8","13",75,1,"71",203,4.55,33.5,135,4.90527477843843
"14","Zach Pascal","CUSA","13","65","946","14.6","9",135,1,"74",219,4.55,36,195,5.27299955856375
