"","Player","Conf","Rec","Yds","YdsCatch","TD","NflYds","NflTD","Height","Wt","fourtyYD","Vertical","WrScore","LogScore"
"1","A.J. Green","SEC","57","848","14.9","9",1057,7,"76",211,4.48,34.5,1477,7.29776828253138
"2","Aaron Burbridge","Big Ten","85","1258","14.8","7",88,0,"72",206,4.56,30.5,88,4.47733681447821
"3","Albert Wilson","Sun Belt","71","1177","16.6","8",260,0,"69",202,4.43,37.5,260,5.56068163101553
"4","Aldrick Robinson","CUSA","65","1301","20.0","14",237,3,"70",184,4.35,40,417,6.0330862217988
"5","Allen Hurns","ACC","62","1162","18.7","6",677,6,"73",198,4.55,31,1037,6.94408720822953
"6","Allen Robinson","Big Ten","97","1432","14.8","6",548,2,"75",220,4.6,39,668,6.50428817353665
"8","Amari Cooper","SEC","124","1727","13.9","16",1070,6,"73",211,4.42,33,1430,7.26542972325395
"9","Bennie Fowler","Big Ten","36","622","17.3","6",203,0,"73",217,4.52,36,203,5.31320597904179
"10","Brandin Cooks","Pac-12","128","1730","13.5","16",550,3,"70",189,4.33,36,730,6.59304453414244
"11","Brandon Coleman","American","34","538","15.8","4",454,2,"78",225,4.56,32.5,574,6.35262939631957
"12","Braxton Miller","Big Ten","25","340","13.6","3",99,1,"73",201,4.5,35,159,5.06890420222023
"14","Bruce Ellington","SEC","49","775","15.8","8",62,2,"69",197,4.45,39.5,182,5.2040066870768
"15","Chad Hansen","Pac-12","92","1249","13.6","11",94,0,"74",202,4.53,35,94,4.54329478227
"16","Charone Peake","ACC","50","716","14.3","5",186,0,"74",209,4.45,35.5,186,5.2257466737132
"17","Chris Conley","SEC","36","657","18.3","8",199,1,"74",213,4.35,45,259,5.55682806169954
"18","Chris Godwin","Big Ten","59","982","16.6","11",525,1,"73",209,4.42,36,585,6.37161184723186
"19","Cody Core","SEC","37","644","17.4","4",200,0,"75",205,4.47,31.5,200,5.29831736654804
"20","Cordarrelle Patterson","SEC","46","778","16.9","5",469,4,"74",216,4.42,37,709,6.56385552653213
"21","Corey Coleman","Big 12","74","1363","18.4","20",413,3,"71",194,4.42,40.5,593,6.38519439899773
"23","Corey Fuller","ACC","43","815","19.0","6",202,1,"74",204,4.43,31.5,262,5.5683445037611
"24","Curtis Samuel","Big Ten","74","865","11.7","7",115,0,"71",196,4.31,37,115,4.74493212836325
"25","Davante Adams","MWC","131","1719","13.1","24",446,3,"73",212,4.56,39.5,626,6.4393503711001
"27","Devin Funchess","Big Ten","62","733","11.8","4",473,5,"76",232,4.7,38.5,773,6.65027904858742
"28","Devin Smith","Big Ten","33","931","28.2","12",115,1,"72",196,4.42,39,175,5.16478597392351
"29","Donte Moncrief","SEC","59","938","15.9","6",444,3,"74",221,4.4,39.5,624,6.43615036836943
"30","Geronimo Allison","Big Ten","65","882","13.6","3",202,2,"75",196,4.67,33,322,5.77455154554441
"31","J.J. Nelson","CUSA","35","655","18.7","4",299,2,"70",156,4.28,36,419,6.03787091992214
"32","Jaelen Strong","Pac-12","82","1165","14.2","10",161,3,"74",217,4.44,42,341,5.83188247728352
"33","Jalin Marshall","Big Ten","36","477","13.3","5",162,2,"70",200,4.6,37.5,282,5.64190707093811
"34","Jamison Crowder","ACC","85","1044","12.3","6",604,2,"68",185,4.56,37,724,6.58479139238572
"35","Jared Abbrederis","Big Ten","78","1081","13.9","7",111,0,"73",195,4.5,30.5,111,4.70953020131233
"36","Jarius Wright","SEC","66","1117","16.9","12",310,2,"70",182,4.39,38,430,6.06378520868761
"37","Jarvis Landry","SEC","77","1193","15.5","10",755,5,"71",205,4.65,28.5,1055,6.96129604591017
"38","Jeremy Kerley","MWC","56","575","10.3","10",314,1,"69",189,4.56,34.5,374,5.92425579741453
"39","Jordan Matthews","SEC","112","1477","13.2","7",872,8,"75",212,4.46,35.5,1352,7.20934025660291
"40","Josh Doctson","Big 12","78","1326","17.0","14",66,0,"74",202,4.5,41,66,4.18965474202643
"41","Josh Malone","SEC","50","972","19.4","11",63,1,"75",208,4.4,30.5,123,4.81218435537242
"42","Josh Reynolds","SEC","61","1039","17.0","12",104,1,"75",194,4.52,37,164,5.0998664278242
"43","JuJu Smith-Schuster","Pac-12","70","914","13.1","10",917,7,"73",215,4.54,32.5,1337,7.19818357710194
"44","Julio Jones","SEC","78","1133","14.5","7",959,8,"75",220,4.34,38.5,1439,7.27170370688737
"46","Justin Hardy","American","121","1494","12.3","10",194,0,"70",192,4.56,36.5,194,5.26785815906333
"47","Justin Hunter","SEC","73","1083","14.8","9",354,4,"76",196,4.44,39.5,594,6.38687931936265
"49","Kelvin Benjamin","ACC","54","1011","18.7","15",1008,9,"77",240,4.61,32.5,1548,7.34471905414967
"50","Kendall Wright","Big 12","108","1663","15.4","14",626,4,"70",196,4.49,38.5,866,6.76388490856244
