"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Antonio Brown","WR","PIT",181,129,1698,1831,601,13,10.1,0.93,0.33,0.3,0.67,378.1
"2","Demaryius Thomas","WR","DEN",184,111,1619,1832,659,11,10,0.88,0.36,0.3,0.71,338.9
"3","Jordy Nelson","WR","GB",151,98,1519,1727,496,13,11.4,0.88,0.4,0.28,0.7,327.9
"4","Dez Bryant","WR","DAL",136,88,1320,1621,436,16,11.9,0.81,0.39,0.29,0.7,316
"5","Emmanuel Sanders","WR","DEN",141,101,1404,1761,379,9,12.5,0.8,0.35,0.23,0.59,299.8
"6","Julio Jones","WR","ATL",163,104,1593,2033,539,6,12.5,0.78,0.44,0.27,0.72,299.4
"7","Odell Beckham","WR","NYG",130,91,1305,1581,486,12,12.2,0.83,0.38,0.28,0.68,297
"8","Randall Cobb","WR","GB",127,91,1287,1135,584,12,8.9,1.13,0.26,0.24,0.54,295.4
"9","Jeremy Maclin","WR","PHI",144,86,1329,1895,502,10,13.2,0.7,0.34,0.23,0.59,278.9
"10","Alshon Jeffery","WR","CHI",145,85,1133,1604,452,10,11.1,0.71,0.36,0.24,0.61,261.6
"11","T.Y. Hilton","WR","IND",131,82,1345,1807,366,7,13.8,0.74,0.33,0.21,0.55,260.5
"12","Golden Tate","WR","DET",143,99,1331,1123,694,4,7.9,1.19,0.23,0.24,0.52,259.1
"13","Mike Evans","WR","TB",123,68,1051,1811,177,12,14.7,0.58,0.35,0.25,0.62,245.1
"14","DeAndre Hopkins","WR","HOU",127,76,1210,1634,373,6,12.9,0.74,0.42,0.26,0.69,233
"15","Kelvin Benjamin","WR","CAR",145,73,1008,2023,178,9,14,0.5,0.38,0.27,0.67,227.8
"16","Julian Edelman","WR","NE",134,92,972,1053,420,4,7.9,0.92,0.24,0.25,0.54,222.6
"17","Mike Wallace","WR","MIA",115,67,862,1532,219,10,13.3,0.56,0.32,0.19,0.51,214.8
"18","Brandon LaFell","WR","NE",119,74,953,1225,368,7,10.3,0.78,0.25,0.2,0.47,212.6
"19","DeSean Jackson","WR","WAS",95,56,1169,1348,513,6,14.2,0.87,0.34,0.19,0.52,209.6
"20","A.J. Green","WR","CIN",116,69,1041,1511,309,6,13,0.69,0.5,0.31,0.82,209.3
"21","Jordan Matthews","WR","PHI",103,67,872,913,377,8,8.9,0.96,0.16,0.17,0.36,202.2
"22","Eric Decker","WR","NYJ",114,74,962,1269,308,5,11.1,0.76,0.34,0.24,0.61,200.2
"23","Sammy Watkins","WR","BUF",128,65,982,1703,343,6,13.3,0.58,0.4,0.22,0.61,200
"24","Torrey Smith","WR","BAL",92,49,767,1358,169,11,14.8,0.56,0.31,0.18,0.48,191.7
"25","Jarvis Landry","WR","MIA",112,84,755,638,406,5,5.7,1.18,0.13,0.19,0.37,189.1
"26","Brandon Marshall","WR","CHI",106,61,721,1259,224,8,11.9,0.57,0.33,0.21,0.54,181.1
"27","Keenan Allen","WR","SD",121,77,783,1009,303,4,8.3,0.78,0.25,0.25,0.55,179.3
"28","Kenny Stills","WR","NO",83,63,931,1053,207,3,12.7,0.88,0.22,0.13,0.36,173.9
"29","Mohamed Sanu","WR","CIN",99,57,790,1124,329,5,11.4,0.7,0.28,0.2,0.49,171.1
"30","Kendall Wright","WR","TEN",93,57,715,807,363,6,8.7,0.89,0.2,0.21,0.45,169.9
"31","Doug Baldwin","WR","SEA",98,66,825,927,314,3,9.5,0.89,0.24,0.22,0.49,167.3
"32","Michael Floyd","WR","ARI",99,47,841,1751,111,6,17.7,0.48,0.29,0.17,0.46,167.3
"33","Robert Woods","WR","BUF",104,65,699,991,184,5,9.5,0.71,0.23,0.18,0.43,164.9
"34","Michael Crabtree","WR","SF",108,68,698,963,262,4,8.9,0.72,0.2,0.22,0.47,162.2
"35","Pierre Garcon","WR","WAS",105,68,752,1037,333,3,9.9,0.73,0.25,0.19,0.46,161.2
"36","Allen Hurns","WR","JAC",97,51,677,1053,207,6,10.9,0.64,0.26,0.17,0.44,154.7
"37","Larry Fitzgerald","WR","ARI",103,63,784,1033,335,2,10,0.76,0.19,0.2,0.44,153.4
"38","Terrance Williams","WR","DAL",66,38,633,1020,132,8,15.5,0.62,0.25,0.15,0.4,149.3
"39","John Brown","WR","ARI",103,48,696,1536,180,5,14.9,0.45,0.25,0.18,0.45,147
"40","Kenny Britt","WR","STL",83,48,748,1295,188,3,15.6,0.58,0.32,0.16,0.46,142.2
