,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Kris Adams*\kris-adams-1,UTEP,CUSA,13,47,1070,22.8,14,,,,,47,1070,22.8,14
2,Denarius Moore*\denarius-moore-1,Tennessee,SEC,13,47,981,20.9,9,7,82,11.7,1,54,1063,19.7,10
3,Kris Durham*\kris-durham-1,Georgia,SEC,11,32,659,20.6,3,,,,,32,659,20.6,3
4,Markeith Summers\markeith-summers-1,Ole Miss,SEC,12,28,575,20.5,6,1,20,20.0,0,29,595,20.5,6
5,Greg Jones*\greg-jones-4,Navy,Ind,13,33,662,20.1,5,5,106,21.2,0,38,768,20.2,5
6,Aldrick Robinson*\aldrick-robinson-1,SMU,CUSA,14,65,1301,20.0,14,,,,,65,1301,20.0,14
7,Justin Veltung\justin-veltung-1,Idaho,WAC,13,25,497,19.9,8,7,72,10.3,1,32,569,17.8,9
8,Cobi Hamilton*\cobi-hamilton-1,Arkansas,SEC,13,32,630,19.7,6,,,,,32,630,19.7,6
9,Vincent Brown*\vincent-brown-3,San Diego State,MWC,13,69,1352,19.6,10,1,-13,-13.0,0,70,1339,19.1,10
10,Josh Boyce*\josh-boyce-1,Texas Christian,MWC,13,34,646,19.0,6,,,,,34,646,19.0,6
11,Mark Harrison\mark-harrison-1,Rutgers,Big East,12,44,829,18.8,9,,,,,44,829,18.8,9
12,Jarius Wright*\jarius-wright-1,Arkansas,SEC,13,42,788,18.8,5,1,9,9.0,0,43,797,18.5,5
13,Danny Coale*\danny-coale-1,Virginia Tech,ACC,14,39,732,18.8,3,1,-3,-3.0,0,40,729,18.2,3
14,Tavarres King*\tavarres-king-1,Georgia,SEC,12,27,504,18.7,3,,,,,27,504,18.7,3
15,Darvin Adams*\darvin-adams-1,Auburn,SEC,14,52,963,18.5,7,,,,,52,963,18.5,7
16,Junior Hemingway*\junior-hemingway-1,Michigan,Big Ten,10,32,593,18.5,4,,,,,32,593,18.5,4
17,Marquess Wilson\marquess-wilson-1,Washington State,Pac-10,12,55,1006,18.3,6,,,,,55,1006,18.3,6
18,Nathan Palmer*\nathan-palmer-1,Northern Illinois,MAC,14,29,532,18.3,6,3,23,7.7,0,32,555,17.3,6
19,Demarco Sampson*\demarco-sampson-1,San Diego State,MWC,13,67,1220,18.2,8,4,11,2.8,0,71,1231,17.3,8
20,Tyler Shoemaker*\tyler-shoemaker-1,Boise State,WAC,13,32,582,18.2,5,1,-1,-1.0,0,33,581,17.6,5
21,Kinsman Thomas\kinsman-thomas-1,Eastern Michigan,MAC,11,26,473,18.2,4,,,,,26,473,18.2,4
