,,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,,Scrimmage
Rk,,Player,School,Conf,G,Rec,Yds?,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,,TD
1,,Andy Isabella\andy-isabella-1,Massachusetts,Ind,12,101,1697,16.8,13,11,79,7.2,1,112,1776,15.9,,14
2,,Antoine Wesley\antoine-wesley-1,Texas Tech,Big 12,12,88,1410,16,9,1,-2,-2,0,89,1408,15.8,,9
3,,Tylan Wallace\tylan-wallace-1,Oklahoma State,Big 12,12,79,1398,17.7,11,1,6,6,1,80,1404,17.6,,12
4,,Preston Williams\preston-williams-4,Colorado State,MWC,12,96,1345,14,14,4,13,3.3,0,100,1358,13.6,,14
5,,A.J. Brown\aj-brown-4,Ole Miss,SEC,12,85,1320,15.5,6,0,0,,0,85,1320,15.5,,6
6,,John Ursua\john-ursua-1,Hawaii,MWC,12,85,1309,15.4,16,1,1,1,1,86,1310,15.2,,17
7,,KeeSean Johnson\keesean-johnson-1,Fresno State,MWC,12,87,1267,14.6,8,3,9,3,0,90,1276,14.2,,8
8,,Marquise Brown\marquise-brown-1,Oklahoma,Big 12,11,70,1264,18.1,10,2,0,0,0,72,1264,17.6,,10
9,,James Proche\james-proche-1,SMU,American,12,93,1199,12.9,12,2,17,8.5,0,95,1216,12.8,,12
10,,Rondale Moore\rondale-moore-1,Purdue,Big Ten,12,103,1164,11.3,12,18,203,11.3,1,121,1367,11.3,,13
11,,Scott Miller\scott-miller-3,Bowling Green State,MAC,11,71,1148,16.2,9,4,16,4,0,75,1164,15.5,,9
12,,Kelvin Harmon\kelvin-harmon-1,North Carolina State,ACC,11,75,1119,14.9,6,0,0,,0,75,1119,14.9,,6
13,,Dillon Mitchell\dillon-mitchell-1,Oregon,Pac-12,12,69,1114,16.1,9,1,5,5,0,70,1119,16,,9
14,,Tyler Johnson\tyler-johnson-6,Minnesota,Big Ten,12,74,1112,15,10,0,0,,0,74,1112,15,,10
15,,N'Keal Harry\nkeal-harry-1,Arizona State,Pac-12,12,73,1088,14.9,9,7,10,1.4,1,80,1098,13.7,,10
16,,Travis Fulgham\travis-fulgham-1,Old Dominion,CUSA,12,63,1083,17.2,9,0,0,,0,63,1083,17.2,,9
17,,Jerry Jeudy\jerry-jeudy-1,Alabama,SEC,12,56,1079,19.3,11,0,0,,0,56,1079,19.3,,11
18,,Greg Dortch\greg-dortch-1,Wake Forest,ACC,12,89,1078,12.1,8,6,18,3,0,95,1096,11.5,,8
19,,Trevon Brown\trevon-brown-1,East Carolina,American,11,71,1075,15.1,9,1,-2,-2,0,72,1073,14.9,,9
20,,Damonte Coxie\damonte-coxie-1,Memphis,American,12,63,1062,16.9,7,0,0,,0,63,1062,16.9,,7
21,,Hakeem Butler\hakeem-butler-1,Iowa State,Big 12,11,47,1059,22.5,9,0,0,,0,47,1059,22.5,,9
22,,Lil'Jordan Humphrey\liljordan-humphrey-1,Texas,Big 12,12,72,1058,14.7,8,6,25,4.2,1,78,1083,13.9,,9
23,,Jalen Reagor\jalen-reagor-1,Texas Christian,Big 12,12,71,1053,14.8,9,11,169,15.4,2,82,1222,14.9,,11
24,,Adrian Hardy\adrian-hardy-1,Louisiana Tech,CUSA,12,69,1052,15.2,6,0,0,,0,69,1052,15.2,,6
25,,Jonathan Duhart\jonathan-duhart-1,Old Dominion,CUSA,12,74,1045,14.1,9,0,0,,0,74,1045,14.1,,9
26,,Rico Bussey Jr.\rico-bussey-jr-1,North Texas,CUSA,12,68,1017,15,12,0,0,,0,68,1017,15,,12
27,,Laviska Shenault Jr.\laviska-shenault-jr-1,Colorado,Pac-12,9,86,1011,11.8,6,17,115,6.8,5,103,1126,10.9,,11
28,,Stanley Morgan Jr.\stanley-morgan-jr-1,Nebraska,Big Ten,12,70,1004,14.3,7,1,4,4,0,71,1008,14.2,,7
29,,Darnell Mooney\darnell-mooney-1,Tulane,American,12,47,987,21,8,1,6,6,0,48,993,20.7,,8
30,,Olamide Zaccheaus\olamide-zaccheaus-1,Virginia,ACC,12,82,973,11.9,6,15,73,4.9,0,97,1046,10.8,,6
31,,Antonio Gandy-Golden\antonio-gandy-golden-1,Liberty,Ind,10,64,966,15.1,10,0,0,,0,64,966,15.1,,10
32,,Caleb Wilson\caleb-wilson-2,UCLA,Pac-12,11,60,965,16.1,4,1,4,4,0,61,969,15.9,,4
33,,Marquez Stevenson\marquez-stevenson-1,Houston,American,12,67,947,14.1,9,11,121,11,2,78,1068,13.7,,11
34,,Jalen Hurd\jalen-hurd-1,Baylor,Big 12,12,69,946,13.7,4,48,209,4.4,3,117,1155,9.9,,7
35,,Kirk Merritt\kirk-merritt-2,Arkansas State,Sun Belt,12,75,939,12.5,7,4,28,7,0,79,967,12.2,,7
36,,Sean Modster\sean-modster-1,Boise State,MWC,12,64,933,14.6,7,0,0,,0,64,933,14.6,,7
37,,Gary Jennings\gary-jennings-1,West Virginia,Big 12,11,54,917,17,13,0,0,,0,54,917,17,,13
38,,Papi White\papi-white-1,Ohio,MAC,12,58,897,15.5,9,2,10,5,1,60,907,15.1,,10
39,,David Sills\david-sills-1,West Virginia,Big 12,11,61,896,14.7,15,0,14,,0,61,910,14.9,,15
40,,Quez Watkins\quez-watkins-1,Southern Mississippi,CUSA,11,72,889,12.3,9,4,11,2.8,0,76,900,11.8,,9
41,,Kalija Lipscomb\kalija-lipscomb-1,Vanderbilt,SEC,12,81,886,10.9,9,14,75,5.4,1,95,961,10.1,,10
